ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth..m.,Area..m2.,Estimated.coordinates,Reference,ANP,Estimated.Area,Area.Loss,Loss.Index,Pollution,Coastal.Modification,Biological.Resource.Use,MHWs,Protection.Level,Validation,Threat.index,Red.List.Category,Zone,State,Region,
82,Zostera marina,1976,DD,Felger y Lowe,Bahia San Carlos,27.94,-111.06,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,1,0.871278048,CO,Bahia San Carlos,Sonora,Central Gulf,
83,Ruppia maritima,1976,DD,Felger y Lowe,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,0,0.704611381,CR,Bahia San Carlos,Sonora,Central Gulf,
84,Zostera marina,1977,DD,Sheridan y Felger,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,Indian utilization of Eelgrass (Zostera marina L.) in Northewestern Mexico: The Spanish Colonial Record,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,0,0.704611381,CR,Bahia San Carlos,Sonora,Central Gulf,
85,Zostera marina,1980,March,Lehto,Bahia San Carlos,27.95,-111.06,DD,DD,Yes,MEXU,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.727668288,0.5,0.5,0.787944715,CR,Bahia San Carlos,Sonora,Central Gulf,
86,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,DD,DD,NA,0,0,0,0.523931405,0,0.5,0.170655234,NT,La Paz,Baja California Sur,Southern Gulf,
87,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,DD,DD,NA,0,0,0,0.523931405,0,0.5,0.170655234,NT,La Paz,Baja California Sur,Southern Gulf,
88,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,DD,DD,NA,0,0,0,0.523931405,0,0.5,0.170655234,NT,La Paz,Baja California Sur,Southern Gulf,
89,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,DD,DD,NA,0,0,0,0.523931405,0,0.5,0.170655234,NT,La Paz,Baja California Sur,Southern Gulf,
90,Halodule wrightii,1999,June,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
91,Zostera marina,1999,June,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
92,Halodule wrightii,1970-1980,June-November,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
93,Ruppia maritima,1970-1981,June-November,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
94,Zostera marina,1992,September,Felger,Bahia Santa Maria,25.01,-108.2,DD,DD,No,ASU_Plants,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,DD,DD,NA,1,1,1,0.436140261,0.5,1,0.822690044,CR,Bahia Santa Maria,Sinaloa,Southern Gulf,
95,Zostera marina,2000-2002,March-June,Riosmena-Rodriguez et al.,Bahia Santa Maria,25.01,-108.2,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,DD,DD,NA,1,1,1,0.436140261,0.5,1,0.822690044,CR,Bahia Santa Maria,Sinaloa,Southern Gulf,
96,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Bahia Santa Maria,25.09,-108.09,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,DD,DD,NA,1,1,1,0.587407218,0.5,0,0.681234536,CR,Bahia Santa Maria,Sinaloa,Southern Gulf,
97,Zostera marina,2000-2002,March-June,Talbots et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,DD,DD,NA,1,1,1,0.587407218,0.5,0,0.681234536,CR,Bahia Santa Maria,Sinaloa,Southern Gulf,
98,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,DD,DD,NA,1,1,1,0.587407218,0.5,1,0.847901203,CO,Bahia Santa Maria,Sinaloa,Southern Gulf,
99,Zostera marina,2009,June,Lopez-Calderon et al.,Bajo Callero,29.15,-112.18,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo,Sonora ,Central Gulf,
100,Zostera marina,2010,May,Lopez-Calderon et al.,Bajo Callero,29.15,-112.18,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
101,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Area de Proteccion de Flora y Fauna Balandra,0,DD,NA,1,0,0,0.523931405,0.5,1,0.503988568,EN,La Paz,Baja California Sur,Southern Gulf,
102,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Area de Proteccion de Flora y Fauna Balandra,0,DD,NA,1,0,0,0.523931405,0.5,1,0.503988568,EN,La Paz,Baja California Sur,Southern Gulf,
103,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Cabo San Lucas,22.9,-109.89,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Cabo San Lucas,DD,DD,NA,1,1,1,0.432045047,0.5,1,0.822007508,CR,Los Cabos,Baja California Sur,Southern Gulf,
104,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Cabo San Lucas,22.9,-109.89,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Cabo San Lucas,DD,DD,NA,1,1,1,0.432045047,0.5,1,0.822007508,CR,Los Cabos,Baja California Sur,Southern Gulf,
105,Zostera marina,1968,March,Moser,Campo Almond,29.11,-112.18,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,1,0,0.519580241,0.5,0,0.336596707,VU,Canal del Infiernillo ,Sonora,Central Gulf,
106,Ruppia maritima,1977,March,Felger et al.,Campo Viboras,29.09,-112.22,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,1,0,0.519580241,0.5,0,0.336596707,VU,Canal del Infiernillo,Sonora ,Central Gulf,
107,Zostera marina,2000,September,Seminoff et al.,Campo Viboras,29.09,-112.22,DD,DD,No,"First diet evidence of migration by an east pacific green seaturtle from Michoacan, Mexico to a feeding ground on the sonoran coast of the Gulf of California",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
108,Zostera marina,1944,DD,Dawson,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,The marine algae of the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
109,Zostera marina,1973,April,Felger et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,No,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
110,Ruppia maritima,1973,June,Felger,Canal del Infiernillo,29.04,-112.21,DD,DD,No,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
111,Zostera marina,1974,April,Phillips et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Reproductive strategies of Eelgrass (Zostera marina L.),Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
112,Zostera marina,1980,DD,Sheridan y Felger,Canal del Infiernillo,29.13,-112.22,DD,DD,No,Indian Utilization of Eelgrass (Zostera marina L.) in Northwestern Mexico: The SpanishColonial Record,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
113,Zostera marina,2000,March-April,Torre-Cosio,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
114,Zostera marina,2002,DD,Felger et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
115,Zostera marina,2004,DD,Brusca et al.,Canal del Infiernillo,29.04,-112.22,DD,DD,No,A seashore guide to the northern Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0.5,0.253263374,NT,Canal del Infiernillo ,Sonora,Central Gulf,
116,Zostera marina,2004,DD,Brusca et al.,Canal del Infiernillo,29.042,-112.207,DD,DD,Yes,The Gulf of California: Biodiversity and Conservation,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
117,Zostera marina,2004,DD,Felger et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,No,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
118,Zostera marina,2009,January-May,Riosmena-Rodriguez et al.,Canal del Infiernillo,29.042,-112.207,DD,DD,No,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
119,Ruppia maritima,2009,October,Lopez-Calderon et al.,Canal del Infiernillo,29,-112.16,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
120,Ruppia maritima,2010,April,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
121,Ruppia maritima,2010,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
122,Zostera marina,2013,January-February,Riosmena-Rodriguez et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
123,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Canal del Infiernillo,29.32,-112.35,3,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
124,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Canal del Infiernillo,29.042,-112.207,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
125,Halodule wrightii,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
126,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
127,Ruppia maritima,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.17,-112.27,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
128,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
129,Zostera marina,2000-2002,March-June,Talbots et al.,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
130,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Canal del Infiernillo,29.17,-112.27,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
131,Ruppia maritima,1992,March,Edwards et al.,Cienega de Santa Clara,31.72,-114.65,DD,DD,Yes,"Cienega de Santa Clara: endangered wetland in the Colorado river delta, Sonora, Mexico",Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,DD,DD,NA,1,0,0,0.991809573,0,0.5,0.415301596,VU,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf ,
132,Ruppia maritima,1992,March,Edwards et al.,Cienega de Santa Clara,31.72,-114.65,DD,DD,Yes,"Cienega de Santa Clara: endangered wetland in the Colorado river delta, Sonora, Mexico",Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,DD,DD,NA,1,0,0,0.991809573,0,0.5,0.415301596,VU,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf ,
133,Ruppia maritima,1993,April,Ortiz-Reina,Cienega de Santa Clara,31.86,-114.62,DD,DD,No,MEXU,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,DD,DD,NA,1,0,0,0.991809573,0,0.5,0.415301596,VU,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf ,
134,Ruppia maritima,1993,March,Felger y Ortiz-Reyna,Cienega de Santa Clara,31.86,-114.62,DD,DD,No,MEXU,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,DD,DD,NA,1,0,0,0.991809573,0,0.5,0.415301596,VU,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf ,
135,Halophila decipiens,1999,April,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,DD,NA,1,0,0,0.523931405,1,1,0.587321901,EN,La Paz,Baja California Sur,Southern Gulf,
136,Halodule wrightii,1999,June,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,0.5,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,DD,NA,1,0,0,0.523931405,1,1,0.587321901,EN,La Paz,Baja California Sur,Southern Gulf,
137,Ruppia maritima,1999,May,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,0.5,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
138,Halophila decipiens,2001,July-August,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,5,DD,Yes,Occurrence and seasonality of Halophila decipiens in the Gulf Of California,No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
139,Halophila decipiens,1999-2000,December-January,Santamaria-Gallegos et al.,Costa Baja,24.21,-110.3,5,DD,Yes,Occurrence and seasonality of Halophila decipiens in the Gulf Of California,No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
140,Zostera marina,2009,June,Lopez-Calderon et al.,El Almo,29.21,-112.22,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
141,Zostera marina,2010,May,Lopez-Calderon et al.,El Almo,29.21,-112.22,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
142,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,El Candelero,24.5,-110.38,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Zona marina del Archipielago de Espiritu Santo,DD,DD,NA,0,0,0,0.523931405,0,0.5,0.170655234,NT,La Paz,Baja California Sur,Southern Gulf,
143,Zostera marina,2010,June,Riosmena-Rodriguez et al.,El Choyudo,28.31,-111.45,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,No,DD,DD,NA,1,1,1,0.536984899,1,0,0.75616415,CR,Estero Tastiota,Sonora ,Central Gulf,
144,Zostera marina,1968,April,Felger,El Desemboque,30.55,-113,DD,DD,No,MEXU,No,DD,DD,NA,1,1,1,0.235474789,1,0.5,0.789245798,CR,El Desemboque ,Sonora,Upper Gulf ,
145,Zostera marina,1968,May,Felger,El Desemboque,30.55,-113,DD,DD,No,UNISON:USON,No,DD,DD,NA,1,1,1,0.235474789,1,0.5,0.789245798,CR,El Desemboque ,Sonora,Upper Gulf ,
146,Zostera marina,1972,December,Felger,El Desemboque,30.55,-113,DD,DD,Yes,MEXU,No,DD,DD,NA,1,1,1,0.235474789,1,0.5,0.789245798,CR,El Desemboque ,Sonora,Upper Gulf ,
147,Zostera marina,1900,June,Felger y Moser,El Desemboque de los Seri,29.5,-112.4,DD,DD,Yes,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
148,Zostera marina,1970,July,Felger y Moser,El Desemboque de los Seri,29.5,-112.4,DD,DD,Yes,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
149,Zostera marina,1973,April,Felger y Moser,El Desemboque de los Seri,29.5,-112.4,DD,DD,No,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
150,Zostera marina,2008,January,Felger,El Desemboque de los Seri,29.53,-112.43,DD,DD,No,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
151,Ruppia maritima,1992,February,Vega-Avina,El Dorado,24.315,-107.456,DD,DD,Yes,UAS:UAS,Sitio Ramsar Ensenada de Pabellones,DD,DD,NA,1,1,1,0.519836191,0.5,0,0.669972699,CR,El Dorado ,Sinaloa,Southern Gulf,
152,Ruppia maritima,1995,June,Vega-Avina,El Dorado,24.275,-107.45,DD,DD,Yes,UAS:UAS,Sitio Ramsar Ensenada de Pabellones,DD,DD,NA,1,1,1,0.519836191,0.5,1,0.836639365,CO,El Dorado ,Sinaloa,Southern Gulf,
153,Halodule wrightii,1999,December,Santamaria-Gallegos et al.,El Mogote,24.15,-110.36,DD,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,DD,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
154,Ruppia maritima,1999,January,Santamaria-Gallegos et al.,El Mogote,24.15,-110.36,DD,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,DD,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
155,Ruppia maritima,2008,DD,Morzaira-Luna & Danemann,El Quemado,28.94,-113.43,DD,DD,No,"Humedales de la region de Bahia de los Angeles, Baja California","Reserva de la Biosfera Zona Marina Bahía de los Angeles, Canales de Ballenas y de Salsipuedes",DD,DD,NA,0,0,0,0.224212951,0.5,0.5,0.204035492,NT,Bahia de los Angeles,Baja California,Central Gulf,
156,Zostera marina,1991,October,Riosmena-Rodriguez y Sanchez-Lizaso,El Requeson,26.64,-111.83,DD,DD,No,El limite sur de distribucion de Zostera marina L. y Phyllospadix torreyi W. para el noroeste mexicano,Parque Nacional Bahia de Loreto,DD,DD,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
157,Zostera marina,1991,October,Riosmena-Rodriguez y Sanchez-Lizaso,El Requeson,26.64,-111.83,DD,DD,No,El limite sur de distribucion de Zostera marina L. y Phyllospadix torreyi W. para el noroeste mexicano,Parque Nacional Bahia de Loreto,DD,DD,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
158,Ruppia maritima,2008,December,Lopez-Calderon et al.,El Requeson,26.6388,-111.8294,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Parque Nacional Bahia de Loreto,DD,DD,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
